id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
minecraft:netherrack,0,167539,329358,494770,660109,825829,825543,824655,823761,821722,820901,820140,819685,818980,818099,817552,817002,817553,818485,819035,813999,804679,761626,681164,564915,548222,528040,505852,484140,456280,426013,399810,374267,368541,362559,356402,349920,342950,338514,333492,328789,321683,315552,306008,301743,306040,315684,323865,327054,327112,328761,332011,339970,350164,362793,372424,379243,378890,373555,372339,373454,381754,387434,392717,395714,398394,401681,400490,399708,402265,405953,407848,409346,402332,394359,383864,374566,367429,363289,362005,360548,357134,352302,349049,349889,353374,355124,361229,371397,374042,378335,382908,387087,389746,391457,392268,391953,412532,431792,452049,470795,487757,506539,523414,538000,592900,641521,686587,727832,763768,789588,802719,808717,818189,819348,819537,820564,821551,821827,822029,821143,836861,836721,668711,501139,333185,166412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64171954,62.0523643735,88.4843063996
minecraft:air,0,0,4905,7409,8994,10949,11205,12115,13049,14963,15861,16632,17080,17753,18614,19234,19736,18747,17522,15715,13909,12040,10257,9213,8614,8209,8173,7699,6688,6148,5320,4851,427106,433164,439234,445552,452158,459035,463096,467740,472021,478448,484551,494198,499061,494994,485754,477850,398727,398058,396443,392675,384193,375094,363270,352725,345171,341504,341085,339013,340806,336599,330659,323438,316580,319880,324005,327302,329852,327439,323389,321427,319776,327853,335837,346409,355439,362269,366506,368738,407174,410289,415249,418477,417650,414055,412337,406230,396051,393832,389533,384903,380818,378088,376342,375490,444332,423797,404582,384352,365684,348747,329880,312952,298225,243409,194673,149756,108625,72757,46954,33900,27885,18571,17416,17136,16191,15210,14941,14711,15611,0,137,659,1237,1305,863,0,75362,76544,76544,76544,76544,76544,76544,76544,76544,76544,76544,76544,76544,76544,76544,76544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30892265,29.8718983078,N/A
minecraft:bedrock,836864,669325,502555,334656,167711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167491,334485,502372,669588,836864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5021911,4.8560380633,6.9245251849
minecraft:lava,0,0,23,16,21,34,63,31,20,125,42,26,15,34,79,25,10,27,83,367,6077,16607,61378,142997,260036,276631,296314,318971,341959,370357,401564,427418,857,494,477,519,599,435,477,472,451,643,544,859,520,535,502,423,369,541,510,471,528,405,424,332,343,366,405,543,517,377,430,370,323,464,437,350,349,331,303,325,323,561,485,572,679,629,638,435,309,472,305,363,310,294,292,392,514,198,182,253,172,204,207,156,167,215,159,172,125,129,109,104,92,82,92,96,53,53,124,101,133,32,29,106,23,13,9,11,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2951155,2.8536788109,4.0692372131
minecraft:nether_bricks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,523,1028,1193,1312,1461,1661,2071,2563,3259,3565,3817,3926,3991,4019,4046,4082,4111,4139,4179,4307,4388,4496,4590,4613,4622,4739,5133,5201,5928,6445,5546,4591,5623,5775,7869,9882,9893,4938,2935,3597,4591,8679,6154,5336,3510,1612,1457,1837,1992,2093,762,790,557,805,1157,1157,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213323,0.2062769746,0.2941431033
minecraft:soul_sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,456,715,1691,2834,3493,3246,2917,2217,2565,2975,2833,2373,1967,1364,1491,1537,1444,1253,1018,778,1019,1308,1606,1988,2393,2335,1852,1492,1259,900,713,555,573,429,246,219,160,107,76,753,2578,6146,9273,11564,9209,8732,9259,9355,5330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130633,0.1263182124,0.1801249561
minecraft:glowstone,0,0,1,1,2,10,15,10,0,6,2,13,25,42,22,19,20,26,24,22,16,20,19,24,26,21,17,21,23,12,16,29,51,78,65,58,83,80,91,133,171,147,157,134,163,107,80,90,132,146,162,154,123,105,75,93,76,104,83,113,86,105,40,52,39,57,95,101,86,65,55,93,185,175,139,139,88,94,90,109,116,232,252,268,259,317,275,222,112,85,108,62,85,121,154,202,247,256,260,233,230,181,274,336,501,457,531,380,324,237,142,93,70,30,22,28,34,43,48,72,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13415,0.0129719046,0.0184974416
minecraft:fire,0,0,2,0,8,32,28,28,23,40,43,41,31,37,26,17,27,23,16,18,21,17,18,12,13,9,15,13,10,22,9,2,124,93,108,71,63,60,50,56,74,103,156,132,112,91,93,77,44,54,58,73,84,59,65,54,62,82,86,71,51,28,30,42,20,14,27,47,50,52,36,35,23,98,130,173,187,130,75,83,76,62,87,55,94,117,122,135,100,54,56,84,58,68,68,99,98,43,43,40,20,35,35,37,24,12,34,35,18,25,33,29,38,31,32,23,23,21,28,37,27,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6346,0.0061363926,0.008750262
minecraft:nether_brick_fence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,48,48,268,265,173,198,325,311,13,590,680,257,166,332,220,34,189,263,295,146,114,37,59,83,40,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5314,0.0051384794,0.0073272758
minecraft:gravel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,897,997,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3096,0.0029937396,0.0042689586
