id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
minecraft:netherrack,0,37380949,72804628,120483556,177532116,226525987,225485385,224410597,223032012,221733801,220855096,220316853,219817597,219348799,218870886,218257492,215141855,212512164,207914482,201671232,193671050,181707020,161716577,133562390,101492917,97157657,92794023,89703264,88433432,88258769,89020144,88572404,88545607,89057396,91453289,94280815,97510465,99967208,101229590,102153873,103000549,103329922,103307289,103046276,102959345,103233765,103745758,104290350,103568947,103589734,103425101,103078563,102892691,102982679,103238300,103388314,103450492,102929375,102190618,101303550,100603364,100320709,100334928,100432850,100801908,100217477,99626306,99262842,99379397,100105445,101215164,102157838,102573522,102489784,102231520,101989254,102142558,102756472,103567856,104275164,104500027,104614361,104568908,104479885,104504227,104681571,104845683,104741331,103669179,102568783,101388884,100387311,100042368,100637638,101751176,102964275,102345923,102743525,102886655,102968351,103283205,103969328,104945054,105995268,107590041,119682373,133698270,149537998,166815848,183254151,196801225,207413009,220651393,227495463,231143933,233453209,235742038,237699858,238852744,239412996,239941622,257165495,257138523,206193809,155600087,104905448,53319529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16826811331,50.2027761735,70.2719707511
minecraft:air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,319,1249,2198,102436694,102533208,102357051,102045139,101764257,101514334,101246110,101181925,101182253,101163940,101019407,101053437,101021811,101038209,100948201,101002080,102014715,102112071,102186758,102237983,102244007,102378686,102510806,102622251,102592121,102597122,102887404,103157084,103440470,103394606,103101088,102767442,106672690,106813175,106803200,107079522,107154191,106982169,106729549,106587497,106708977,107069853,107382228,107656823,107608881,107576184,107455268,107494499,102852912,103008415,103154514,103257575,103356394,103403192,103444751,103476807,103504378,103481644,103534724,103535676,103423358,103249186,103019877,102805317,136970697,137167012,137286270,137427723,137497617,137582065,137623127,137678168,137739774,119956999,98552819,74297857,49859364,30040325,16849068,8911330,5837821,1385630,119608,3373,224,0,5,4,2,0,0,0,0,0,0,0,7653034,7833856,7833856,7833856,7833856,7833856,7833856,7833856,7833856,7833856,7833856,7833856,7833856,7833856,7833856,7833856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8399987628,25.0613553842,N/A
minecraft:basalt,0,8939155,16294609,19950556,20657045,24644266,25321303,25737741,25923403,26030591,26130446,26239241,26348910,26472527,26593805,26698614,26689964,26378670,25670485,24722597,23920358,23563584,23435893,22686322,20699144,18350611,16432172,15063342,14106006,13445202,13158342,13204521,13134834,12990308,13190626,13424978,13623281,13768046,13838395,13782877,13684646,13309974,13144775,13169664,13265379,13327503,13371889,13378711,13312366,13011667,12879404,12824779,12890827,12955649,13018153,12985125,12933793,12692402,12579815,12572713,12718772,12948196,13159387,13326474,13431567,13071492,12978707,13129087,13345238,13496334,13521704,13364782,13136515,12673747,12503551,12546884,12668078,12725472,12649741,12533275,12381442,12103330,12016281,12065818,12136793,12152710,12083715,11955063,11756200,11618588,11741164,12028780,12311246,12502487,12550283,12443026,12269366,11671014,11283342,11132462,11111672,11064451,10947336,10770144,10572292,12657305,15477044,18710470,21477665,22752645,22687109,21824207,20735777,20080614,19422428,18951130,18625408,18422943,18372752,18453047,18596455,19707914,19804146,15432422,10697458,6092227,2312392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978463570,5.9027442466,8.2624408979
minecraft:lava,0,0,5255070,8361598,11748706,15396596,16073080,16741095,17390993,18003436,18666491,19196976,19701739,20164205,20584696,20971594,21335273,21668296,22029166,22888048,26976559,40025760,66838276,104025557,143363133,145833582,147799992,149159940,150095790,150614622,150988058,151052566,62906,242256,248517,177874,177583,176172,166928,155238,81759,151395,159763,158998,161437,160583,152740,140210,75073,124405,128269,136410,141985,143861,139325,132480,81953,205319,216215,174607,190447,200555,208992,215064,125263,202862,218280,225072,217380,192855,172467,153522,82963,162059,167867,167085,157875,143932,128193,117078,78832,126999,133042,129849,125851,118508,112008,103008,99670,204767,217529,225709,227418,216499,198126,179689,82530,129862,139994,141020,136997,126513,114285,104388,64914,66540,71127,77625,85772,94875,104290,112182,107669,110732,112387,112170,112748,112488,13622,12759,3081,3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755526105,5.2376105242,7.3314115596
minecraft:bedrock,280666112,224528544,168411337,112270051,56139665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56130034,112285748,168415227,224525892,280666112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684038722,5.0243279826,7.0328666251
minecraft:cave_air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11702455,11724284,11831897,11845464,11867054,11874655,11900734,11917911,11929551,11928416,11935188,11925344,11923445,11930549,11938465,11941527,11945628,11937236,11930208,11934745,11931188,11938801,11937294,11931964,11934787,11905329,11879685,11855156,11844680,11842772,11852613,11853492,11869622,11849520,11838593,11828569,11832261,11865001,11893738,11899452,11913670,11882262,11855733,11835634,11833391,11837991,11843530,11846182,11851362,11839398,11836508,11852555,11862994,11867533,11869234,11879440,11884426,11862730,11831162,11810517,11778962,11761483,11757786,11745128,11731483,11702584,11678297,11654315,11625660,11600579,11580962,11548332,11507937,12992343,14761283,16730866,18639520,20104428,20964864,21358495,21455270,21512049,21273417,20904543,20492336,20038526,19546651,19011422,18430767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172435813,3.4979611728,N/A
minecraft:blackstone,0,50775,580112,2763075,6432425,9354140,9330583,9103096,8928769,8791707,8670347,8565025,8456702,8343266,8247630,8214785,8408748,9152938,10600418,12443079,13769985,13362303,10979367,7825915,5018572,4887506,4671404,4422348,4115824,3598274,3026957,2596214,2730694,2904137,3089450,3059886,2966692,2822697,2639596,2524906,2550490,2753734,2895779,2918764,2846229,2701690,2573820,2492849,2507764,2639068,2731574,2737085,2689786,2568756,2477293,2450144,2480060,2582646,2625519,2708735,2703514,2612292,2485927,2409504,2511934,2768779,2920710,2867054,2686251,2490681,2326365,2260978,2365028,2588498,2695924,2630842,2516476,2394827,2323072,2292528,2312899,2420281,2452987,2416078,2340910,2293892,2315219,2453033,2707471,2930839,3027616,2979496,2817575,2577667,2330590,2163652,2154856,2360740,2496753,2490491,2397797,2247026,2085254,1947308,1856963,1911582,1958134,2024202,2171653,2424781,2736987,3052991,3336029,3567058,3716060,3789517,3817915,3816973,3773471,3704586,3625836,3785571,3723443,2909847,2082819,1253210,508299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475501673,1.4186588053,1.9857856013
minecraft:soul_sand,0,4881564,8557676,8004580,3096301,806687,578987,576407,575689,572727,571904,570606,567767,564253,573409,648253,990204,1949033,3751040,6053707,7820357,7773232,5827409,3198435,1210848,1572965,2122910,2820355,3416763,3795123,3624919,3479481,3416872,3017982,2633322,2855539,2930169,2802460,2580599,2375401,2252450,2258390,2349083,2472250,2533197,2456809,2278901,2101676,1975141,1913362,1922036,1979838,2030841,1997751,1917569,1852107,1859974,1963323,2170677,2419052,2616965,2678044,2682780,2729435,2832294,2960050,3125982,3258271,3262661,3090757,2819823,2542117,2363559,2322170,2360733,2445515,2456127,2323877,2123954,1930792,1796488,1726512,1719911,1755051,1773149,1755828,1756499,1852633,2056201,2380320,2750160,3073706,3223000,3098030,2811814,2503698,2239607,2049514,1960300,1927218,1886652,1733529,1489500,1199142,911651,2121988,3634406,5293819,6506718,6682630,5925795,4628003,3214686,2196485,1362875,774849,381365,127883,25988,3379,165,2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303109501,0.9043269182,1.2658430388
minecraft:soul_soil,0,4857191,8484255,7790774,2682640,221262,1866,0,0,0,0,0,117,1233,12836,91363,435543,1407950,3219174,5564422,7375798,7378394,5488007,2888546,961958,1242659,1463843,1602942,1626017,1515080,1552799,1682031,1924238,2198245,2608624,2831802,2921536,2814060,2606912,2390319,2256308,2252691,2335567,2452593,2505534,2422280,2246346,2067208,1937286,1873066,1895335,1955318,2011869,1984186,1909786,1844692,1849049,1960659,2160781,2406714,2610877,2687262,2690625,2734888,2846583,2950609,3085840,3209627,3222190,3055888,2778401,2514439,2347986,2305739,2354489,2436720,2453638,2331071,2128927,1930269,1784281,1714290,1707747,1748123,1760038,1731490,1731569,1837635,2056701,2388877,2750192,3056488,3188623,3053215,2771583,2474868,2219627,2042048,1954997,1914117,1868871,1720102,1472875,1195064,911541,2102790,3627710,5305248,6505071,6698711,5921777,4614399,3194087,2175366,1357458,770352,372806,127378,26155,3295,97,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278707413,0.8315233111,1.1639352691
minecraft:magma_block,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,21,43,834,764898,2999585,6724338,10219482,12207752,12597199,12534338,12565388,12483709,12326106,11820063,9848433,6415853,2878633,614502,43129,38803,17317,38951,41580,41062,42345,41204,38305,36347,14182,29915,31958,35387,36506,35876,33764,31568,17570,35182,39633,43201,48460,48928,50852,49741,25742,50742,56345,56317,54913,48818,43227,38239,18616,41860,43611,43981,39626,35722,31638,28034,15223,32037,32088,30984,30702,28028,26190,23635,20820,49367,54362,56805,56866,54538,49651,43825,15657,31015,34243,34326,31510,27808,24321,21354,5436,4766,4582,5330,6273,7104,8480,9450,7153,6687,6742,6850,6234,5913,5607,5063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129547409,0.3865045759,0.5410146674
