id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
minecraft:air,8738560,8738560,8738560,8738560,8738560,8738560,8738560,8738560,8738560,8738560,8738560,8738560,8738560,8738560,8738560,8738560,17513728,17513728,17513728,17513728,17513728,17513728,17513728,17513728,17513728,17513728,17513728,17513736,17513736,17513971,17514695,17515436,123201200,123244022,123009466,122688542,122435960,122235315,122041107,122024250,122079667,121932019,121705811,121645492,121524226,121473236,121323708,121361596,154476236,154512140,154530374,154522507,154457742,154555398,154635685,154704079,154666006,154592872,154802704,154996783,155270815,155247761,155094486,154951394,186745923,186773245,186633977,186802636,186823625,186677367,186511077,186417884,186574852,186804186,187013971,187177799,187074348,187064677,187093333,187227409,216227988,216349426,216436879,216502404,216579949,216652753,216734319,216812717,216875367,216668365,216523676,216302655,215952627,215636156,215429501,215331387,247410433,247497473,247526846,247590451,247623924,247726272,247864234,248003689,248142441,235741729,220942788,204194651,187254458,173546701,164604123,159273957,165913212,162818833,161940528,161878980,161878221,161878066,161878057,161878069,161878080,161878016,161878016,161878016,161878016,161878016,161878016,161878016,369927557,370102528,370102528,370102528,370102528,370102528,370102528,370102528,370102528,370102528,370102528,370102528,370102528,370102528,370102528,370102528,570760192,570760192,570760192,570760192,570760192,570760192,570760192,570760192,570760192,570760192,570760192,570760192,570760192,570760192,570760192,570760192,778984704,778984704,778984704,778984704,778984704,778984704,778984704,778984704,778984704,778984704,778984704,778984704,778984704,778984704,778984704,778984704,987209216,987209216,987209216,987209216,987209216,987209216,987209216,987209216,987209216,987209216,987209216,987209216,987209216,987209216,987209216,987209216,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1195433728,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1403658240,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1611882752,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,1820107264,157280489960,89.6020353847,N/A
minecraft:netherrack,0,26249642,50800707,82185016,118024270,148955467,147936065,147107860,145996999,144952180,144288227,143926139,143584492,143258013,142927676,142528057,141759814,140343553,137894673,134466281,129827430,122086349,108790233,89783373,67773206,64071113,60377186,57904282,57050174,57064713,57744308,57592110,57630396,58203632,60472013,63336456,66417198,68582398,69513027,70129801,70810210,71288350,71446173,71368294,71376649,71573492,71935063,72302545,72612550,72671098,72605685,72400395,72336175,72443092,72614678,72685217,72784115,72497569,72050660,71505705,71060744,70861198,70803390,70761335,70719652,70416884,70125216,69947008,70070604,70555798,71319395,71903369,72135692,72102687,71950422,71852617,72019402,72401240,72867529,73291396,73616824,73704525,73712501,73696688,73725581,73854439,73963827,73919339,73243653,72694727,72107636,71662355,71613192,72060272,72765887,73473380,74200130,74472113,74604267,74688146,74910753,75340350,75940934,76563981,77595173,86007162,95654360,106468130,118178942,129101776,137764621,144371867,149531663,153889629,156138560,157614687,159269728,160755455,161611226,161984434,162349566,174222573,174202171,139866380,105927200,71863355,36854729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11531766709,6.5695991217,66.2452515446
minecraft:basalt,0,7200222,13306087,17568145,20819615,26176324,26952074,27363413,27548173,27642163,27726961,27816957,27915201,28026941,28137983,28207320,28091519,27541984,26422967,24948187,23737214,23411617,23698068,23545626,21999939,19425712,17273194,15709854,14623267,13911726,13604712,13598565,13504538,13308843,13387599,13518377,13654106,13811138,13946572,13965039,13921075,13590379,13423050,13409804,13484050,13570172,13664263,13714995,13693661,13437990,13301418,13209119,13241948,13310933,13388270,13385168,13343431,13086636,12918264,12823518,12867244,13029930,13204593,13324044,13373920,13047317,12955128,13048885,13221565,13367658,13439736,13367187,13219283,12812511,12645246,12651576,12737279,12799225,12760595,12696419,12598962,12376988,12307110,12331848,12373896,12379967,12323172,12182716,11965042,11790843,11816283,12002514,12263569,12508313,12655797,12635377,12539244,12044935,11707921,11550212,11534359,11522318,11468920,11378429,11267208,12916004,15152895,17718443,19977914,21197086,21447031,21175995,20740340,20541524,20266789,20036638,19875783,19770623,19765178,19847552,19985139,21180218,21287422,16599727,11522309,6571801,2498554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023136335,1.1525722836,11.6220852193
minecraft:lava,0,0,3711465,5902005,8288445,10856648,11320911,11780480,12220593,12651295,13130489,13494113,13845283,14172391,14480754,14757479,15012919,15251231,15496536,16083351,18817133,27559540,45457153,70634518,97773580,100313618,102375184,103802877,104768339,105328867,105687363,105782285,63373,240107,249114,197421,194755,191378,178371,157319,80963,154946,161295,163892,164831,168514,161556,145229,75600,126307,133214,140971,150110,150191,148345,139166,83389,192682,204375,180790,198227,213101,220460,224050,129179,215695,225702,228629,221461,205363,184480,166625,85686,168963,174527,174529,163527,152053,136596,121722,78742,127218,133299,133542,131193,124097,117583,110290,96831,201646,215331,226052,231324,222923,202554,183637,84144,132126,142807,141708,138363,130462,120428,106497,62186,63074,68153,74516,82236,91149,99280,107390,101223,102736,105341,105130,105813,105240,13105,12315,2125,2837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223602270,0.6970810806,7.0290912236
minecraft:bedrock,199485952,159587525,119689386,79790193,39900158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39900926,79803802,119703011,159585948,199485952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196932853,0.6818876256,6.875886404
minecraft:cave_air,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8379820,8423041,8522202,8544214,8566048,8571259,8567086,8564765,8565573,8565841,8572188,8571965,8580182,8578593,8561074,8547892,8532245,8531458,8531001,8528626,8534659,8543365,8537877,8534338,8548411,8539096,8534012,8511348,8490835,8473934,8466781,8467668,8464541,8471688,8487716,8506429,8511561,8526670,8540446,8541830,8549927,8548744,8552527,8558938,8571124,8571209,8560980,8555810,8560923,8549389,8545152,8554079,8560029,8561818,8557425,8564517,8571799,8572166,8578409,8580044,8585377,8593919,8592065,8578691,8564053,8561901,8562540,8543100,8520580,8499012,8471295,8447773,8418605,9486470,10726203,12103545,13452291,14471207,15041201,15276483,15319726,15340586,15168191,14906024,14612135,14295708,13950203,13576285,13167240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844095696,0.4808777773,N/A
minecraft:blackstone,0,48879,575710,2768792,6436057,9272510,9192790,8940450,8753441,8621196,8506891,8409698,8299977,8181596,8070962,8011734,8144509,8695534,9792964,11206807,12209649,11833974,9895712,7222843,4778055,4644697,4457458,4249527,3997290,3542491,3009180,2583060,2690581,2824664,2969306,2930678,2836008,2700441,2556899,2470918,2510859,2665089,2777425,2792434,2736051,2626895,2538086,2487139,2509275,2615388,2693255,2693937,2652431,2545969,2466949,2433423,2442152,2501177,2509287,2569607,2569575,2497782,2393641,2337411,2425199,2597320,2701216,2661588,2536887,2406728,2296911,2244254,2328559,2501984,2587762,2535396,2462294,2376491,2322007,2301681,2319165,2394283,2410806,2376788,2313123,2271038,2277858,2365870,2547470,2703525,2777005,2747680,2633973,2467533,2294248,2188711,2221612,2399308,2516517,2530932,2471651,2363782,2234119,2125729,2064760,2118721,2168318,2239239,2390072,2655794,2987515,3323826,3614099,3847095,3989918,4064272,4100596,4102537,4063298,3996054,3912024,4076888,3996359,3118919,2232641,1347785,546721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466095619,0.265532719,2.6775274165
minecraft:soul_sand,0,3199986,5603147,5238590,2093221,644857,499873,498341,499077,498263,495207,495462,492758,492241,499967,555355,794834,1403466,2559432,4047703,5168598,5125022,3847831,2113062,830029,1063583,1447451,1929778,2343984,2607405,2469334,2343837,2275217,1975874,1688490,1841233,1913031,1842896,1697145,1551959,1441259,1450033,1519889,1616097,1669014,1625309,1515909,1379912,1277014,1230429,1246096,1299122,1335480,1305113,1247651,1198486,1205529,1282482,1426115,1600886,1735992,1781082,1772550,1786674,1825404,1900627,2015343,2110623,2113479,2004147,1803965,1618927,1499437,1494100,1552955,1627670,1635135,1541449,1402061,1266972,1175741,1135569,1134725,1163123,1180218,1163196,1162813,1227691,1371074,1595300,1831917,2024745,2111133,2017178,1817201,1605765,1428064,1324279,1282039,1280577,1260047,1152894,976659,778750,582700,1353139,2308987,3365484,4153560,4295496,3822480,2989823,2073057,1401505,861330,481316,235201,77347,13558,1154,64,1806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200266661,0.1140910767,1.1504495078
minecraft:soul_soil,0,3173700,5538134,5060298,1725172,149699,1512,0,0,0,0,0,4,672,9121,67548,303560,929908,2099704,3640611,4800230,4797613,3551893,1845860,621649,802588,946023,1035099,1056318,997332,1023632,1102826,1252669,1418830,1677956,1821770,1890522,1826927,1682035,1529138,1417050,1418584,1489180,1588577,1644598,1601530,1492882,1368509,1272999,1222584,1233943,1283408,1330314,1305484,1247838,1198235,1195421,1274744,1420903,1590559,1729525,1774777,1761436,1775260,1823815,1897612,1994582,2093603,2102172,1976161,1772086,1590911,1473005,1462600,1514118,1599478,1625772,1550933,1410036,1268247,1167804,1121879,1117555,1141599,1157065,1134591,1129832,1197831,1344666,1575061,1809649,2009377,2095507,2007581,1810313,1597778,1427122,1316156,1271066,1260689,1232306,1128643,956551,766713,573059,1339108,2286976,3340716,4108905,4241289,3786109,2966576,2065061,1406724,859623,474281,226883,72523,11707,1154,6,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180713688,0.10295183,1.0381257288
minecraft:magma_block,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,24,42,768,714868,2820566,6322597,9610438,11488163,11853478,11779850,11808376,11762262,11632141,11188176,9325385,6075232,2720577,582769,46593,40406,18335,41061,42158,43162,43547,43585,42065,38466,15656,32477,35242,37123,39282,38615,36767,35186,18658,36320,41785,45570,50490,53860,53782,53634,28504,54079,58025,57710,56763,52053,47462,43210,20702,43730,45519,46219,42457,39842,35028,30007,16561,33519,34137,33545,32835,30199,27882,25711,21124,47780,52795,56157,58025,55873,51952,45984,17295,33145,36321,35697,33244,31059,27474,24066,6402,5377,5149,6224,6686,7743,8777,9984,7226,7278,6988,6945,6467,5915,5800,5464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122381662,0.0697203195,0.7030322576
