id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
minecraft:air,21643854,21643854,21643854,21643854,21643854,21643854,21643854,21643854,21643854,21643854,21620483,21427673,20976807,20346872,19662650,18980670,18373926,17801639,17280149,16810172,16388982,16022356,15682076,15368771,15077876,14814174,14572772,14350780,14147597,13960211,13784688,13620965,13477414,13476159,13474324,13473126,13473318,13481162,13488169,13492324,13494717,13498174,13500610,13502624,13503379,13503584,13499325,13495010,13492693,13495049,13495765,13494992,13491120,13482252,13467727,13449706,13447569,14954637,16415479,17773291,18960004,19920149,20634617,21100426,21319669,21478922,21526139,21537192,21544306,21552172,21569548,21592617,21594713,21600856,21607290,21613589,21618802,21624011,21627923,21630866,21626512,21627620,21628189,21628804,21628228,21628358,21628369,21628770,21627977,21628164,21628466,21628765,21627519,21627948,21628622,21628940,21624040,21625323,21625834,21626120,21624587,21625776,21626221,21626405,21625362,21625761,21626148,21626240,21625400,21624915,21626065,21626059,21623441,21622489,21624142,21624169,21622669,21623021,21623942,21624105,21622447,21622904,21623772,21624007,21621722,21622333,21623993,21624052,34644,34747,36383,36578,35166,35173,36864,36892,36036,36272,36971,37040,36398,36505,37024,37075,14259,14398,15231,15249,14684,14964,15396,15393,15157,15082,15540,15552,15544,15455,15576,15576,1460,1495,1496,1493,1409,1476,1509,1511,1466,1455,1536,1536,1536,1536,1536,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21625344,21625344,21625344,21625344,21625344,21625344,21625344,21625344,21625344,21625344,21625344,21625344,21625344,21625344,21625344,21625344,2784345368,89.2955002764,N/A
minecraft:end_stone,0,0,0,0,0,0,0,0,0,0,23371,216181,667047,1296982,1981204,2663184,3300136,3872423,4393913,4863890,5285080,5651704,5991982,6305283,6596172,6859873,7101275,7323261,7526438,7713828,7889346,8053071,8205070,8206321,8208148,8209347,8209145,8201263,8194229,8190028,8187573,8184123,8181637,8179613,8178849,8178615,8182882,8187209,8188497,8186134,8185399,8186158,8190042,8198894,8213422,8231405,8233544,6725368,5262396,3900742,2708083,1741216,1019626,547003,274331,110526,60490,48077,39646,33790,19074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332963559,10.6783260139,99.7554887163
minecraft:chorus_plant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,14,14,14,21,27,21,24,23,26,26,34,34,45,84,106,152,215,201,256,251,262,287,260,266,271,261,291,303,288,306,303,345,336,1448,3580,7400,12614,19144,25990,32480,38566,42620,45130,45990,45174,43257,40713,36733,32397,27105,21920,16532,11605,7773,4815,2794,1397,664,238,70,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573556,0.018394259,0.1718366997
minecraft:chorus_flower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,3,0,4,4,3,2,1,6,6,5,12,7,22,20,24,43,25,25,42,31,33,36,34,34,30,37,33,31,32,98,238,579,1038,1674,2415,3071,3852,4400,4784,5180,5622,5768,5920,5586,5383,4687,3745,2771,1888,1261,691,401,161,47,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71875,0.0023050711,0.021533665
minecraft:purpur_block,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,466,213,20,1004,620,283,20,1456,915,401,2,1964,1233,547,3,551,138,102,26,372,461,483,163,1013,735,674,277,1344,859,466,221,1401,888,339,135,1784,799,317,87,1592,661,194,135,1177,827,271,155,1095,1434,192,188,1093,1734,260,207,1721,1206,356,149,1706,1253,312,135,2252,1797,239,200,1793,1682,231,114,1481,1490,92,101,917,769,131,71,710,542,68,49,770,711,18,23,482,356,14,16,218,332,1,6,26,94,2,2,26,12,0,0,61,17,0,0,35,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59487,0.0019077811,0.0178222349
minecraft:obsidian,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,413,413,413,392,392,392,371,371,371,334,360,360,297,297,297,260,260,286,203,203,203,146,146,146,89,115,89,0,0,0,0,0,0,13,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40690,0.0013049509,0.0121906759
minecraft:purpur_stairs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,6,0,392,280,130,0,542,352,164,4,624,398,218,30,137,39,63,62,81,105,194,175,230,277,286,177,268,315,199,78,557,403,221,88,729,279,154,74,599,182,141,77,362,232,150,131,277,482,162,112,285,629,137,130,477,525,139,137,699,448,204,104,830,574,169,102,633,647,147,99,528,549,82,61,379,282,63,59,297,284,56,20,301,289,36,22,265,175,6,10,126,161,7,4,6,49,5,4,24,0,3,4,47,24,0,0,19,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22662,0.0007267829,0.0067895084
minecraft:end_stone_bricks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,312,346,168,383,465,513,232,492,527,542,232,152,60,56,8,12,8,8,0,22,38,76,48,106,111,130,64,241,306,303,139,304,337,342,123,326,259,269,40,186,151,145,16,106,214,183,105,46,326,251,215,176,322,286,155,288,356,364,137,410,511,452,161,266,420,385,185,221,394,339,181,154,222,198,82,117,149,142,51,96,224,185,119,77,127,115,54,40,88,78,46,0,16,11,14,0,0,0,0,10,7,9,0,7,15,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18733,0.0006007777,0.0056123847
minecraft:purpur_pillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,58,68,34,51,66,78,37,63,85,100,49,145,216,255,122,190,227,271,150,207,203,294,128,236,285,363,140,251,344,412,168,256,327,341,150,171,283,294,159,156,254,262,153,133,249,286,140,166,293,348,140,188,326,371,171,203,376,391,209,215,364,402,207,208,355,376,207,193,317,316,133,163,271,261,124,123,220,221,88,129,184,187,58,91,153,151,62,35,75,75,41,22,39,35,18,15,27,27,12,13,25,25,12,2,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18419,0.0005907075,0.0055183106
minecraft:magenta_stained_glass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,62,36,10,73,119,67,21,155,258,149,46,32,36,4,0,4,4,0,0,6,12,18,12,17,32,24,9,56,96,46,6,69,102,41,8,86,91,14,2,47,53,6,0,35,65,37,0,10,85,75,0,50,96,51,2,74,103,46,10,97,158,61,0,68,131,63,0,66,122,63,0,40,68,28,0,32,41,15,0,30,73,43,0,22,40,18,0,12,30,18,0,0,5,5,0,0,0,0,0,3,3,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4069,0.0001304951,0.0012190676
